year,driver_num,driver_id,circuit,lap,position,gap_ahead,net_gain
2018,11,perez,monza,33.0,6.0,326.1911111111149,-38.43805555555173
2018,11,perez,monza,34.0,6.0,312.8402777777728,-14.523055555560404
2018,11,perez,monza,35.0,6.0,287.20750000000226,-31.221666666664305
2018,11,perez,monza,36.0,6.0,263.956388888887,-29.70972222222406
2018,11,perez,monza,37.0,6.0,246.1936111111154,-18.45666666666233
2018,11,perez,monza,38.0,6.0,96.3013888888845,-148.10305555555988
2018,11,perez,monza,39.0,6.0,663.8947222222232,578.686111111112
2018,11,perez,monza,40.0,8.0,478.72916666666515,-212.3019444444459
2018,11,perez,monza,41.0,8.0,420.0155555555575,-84.17222222222023
2018,11,perez,monza,42.0,8.0,369.67638888888814,-62.01944444444513
2018,11,perez,monza,43.0,8.0,296.26500000000397,-70.3619444444405
2018,11,perez,monza,44.0,8.0,246.0355555555534,-49.407500000002074
2018,11,perez,monza,45.0,8.0,207.83444444444285,-40.071111111112714
2018,11,perez,monza,46.0,8.0,156.71444444444478,-59.11055555555521
2018,11,perez,monza,47.0,8.0,106.28972222221637,-55.583888888894705
2018,11,perez,monza,48.0,8.0,98.2549999999992,-8.389444444445246
2018,11,perez,monza,49.0,8.0,101.23055555555038,2.4222222222170444
2018,11,perez,monza,50.0,8.0,118.79944444444754,17.029722222225303
2018,11,perez,monza,51.0,8.0,79.44916666667177,-43.48333333332823
2018,11,perez,monza,52.0,8.0,85.23777777778014,5.156388888891257
2018,11,perez,monza,53.0,8.0,74.51833333333616,-11.655555555552723
2018,55,sainz,monza,1.0,7.0,62.04083333333983,61.9850000000065
2018,55,sainz,monza,2.0,6.0,77.09055555555733,16.99083333333511
2018,55,sainz,monza,3.0,6.0,23.438333333332594,-48.818611111111835
2018,55,sainz,monza,4.0,6.0,67.6202777777753,63.45749999999752
2018,55,sainz,monza,5.0,6.0,81.14361111110884,36.402499999997744
2018,55,sainz,monza,6.0,6.0,84.06083333333481,20.257222222223696
2018,55,sainz,monza,7.0,6.0,105.25055555555173,37.86111111110729
2018,55,sainz,monza,8.0,6.0,112.04027777777628,19.88527777777628
2018,55,sainz,monza,9.0,6.0,116.97249999999622,20.388888888885106
2018,55,sainz,monza,10.0,6.0,135.92194444444158,13.891388888886027
2018,55,sainz,monza,11.0,6.0,170.75527777777552,46.584166666664416
2018,55,sainz,monza,12.0,6.0,185.4594444444483,29.223333333337195
2018,55,sainz,monza,13.0,6.0,238.13916666666955,63.16638888889179
2018,55,sainz,monza,14.0,7.0,72.7888888888865,-158.4161111111135
2018,55,sainz,monza,15.0,7.0,126.86944444444907,54.40250000000462
2018,55,sainz,monza,16.0,7.0,180.07500000000982,43.423055555565384
2018,55,sainz,monza,17.0,7.0,215.64361111110884,29.69166666666439
2018,55,sainz,monza,18.0,7.0,272.0319444444458,42.37000000000131
2018,55,sainz,monza,19.0,7.0,297.75555555556,12.890277777782217
